Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Brazil,renewables_n_other,2019,4.667366398,5.442416697,3041.299,211246.2,59.44449574,4.128967206,0,14396.94063,Europe
British Virgin Islands,renewables_n_other,2019,1.39E-05,1.39E-05,1.44981,30.0137,80.18774866,1.660032026,0,48304.94074,Europe
Brunei,renewables_n_other,2019,1.78E-05,1.78E-05,26.6516,433.149,415.1843736,6.747688554,0,61529.86617,Europe
Bulgaria,renewables_n_other,2019,0.051957697,0.076755554,149.2549,6969.69,105.2018555,4.912564479,0,21414.85489,Europe
Burkina Faso,renewables_n_other,2019,0.00396156,0.00191436,39.3968,20333.3,3.248074459,1.676381645,0,1937.550717,Europe
Burma,renewables_n_other,2019,0.10369168,0.106945054,275.791,54067.4,10.67490204,2.092759366,0,5100.874094,Europe
Burundi,renewables_n_other,2019,0.002422848,0.002081648,8.84175,11536.2,1.0870857,1.418366053,0,766.4352213,Europe
Cabo Verde,renewables_n_other,2019,0.000792456,0.000792456,3.77316,549.825,26.53897949,3.86726097,0,6862.474424,Europe
Cambodia,renewables_n_other,2019,0.047975083,0.037524127,69.1922,16482.4,13.63232821,3.247381734,0,4197.944474,Europe
Cameroon,renewables_n_other,2019,0.048146428,0.0480816,88.9149,25885.9,6.201551475,1.805465016,0,3434.877675,Europe
Canada,renewables_n_other,2019,3.666640507,3.848938067,1737.87,37601.23,398.3355114,8.618541766,0,46218.43488,Europe
Cayman Islands,renewables_n_other,2019,0.000143933,0.000143933,3.77842,64.9202,175.5781014,3.016754479,0,58200.99137,Europe
Central African Rep.,renewables_n_other,2019,0.0013356,0.0013356,4.13773,4751.85,1.119093869,1.28518927,0,870.7619138,Europe
Chad,renewables_n_other,2019,8.01E-05,8.01E-05,24.9406,15956.2,1.574518363,1.007326604,0,1563.066394,Europe
Chile,renewables_n_other,2019,0.33069929,0.332068091,439.69,18922.75,82.44323231,3.548074039,0,23236.05184,Europe
China,renewables_n_other,2019,17.64263173,17.9973166,23128.34,1434512,105.6867325,6.555113166,0,16122.79298,Europe
