Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
United States of America,renewables_n_other,2016,10.39066204,10.45936578,18509.63,324117.8,300.3949206,5.260145167,0,57107.72441,Oceania
Australia,renewables_n_other,2017,0.362715234,0.374850601,1170.254,24644.28,251.5879127,5.298168572,0,47485.82633,Oceania
Canada,renewables_n_other,2017,3.850775222,4.08220362,1659.717,36545.25,409.5956032,9.018871119,0,45415.39598,Europe
Germany,renewables_n_other,2017,1.936802784,2.20847491,4092.01,82690.85,172.120009,3.478180613,0,49485.64442,Africa
Japan,renewables_n_other,2017,1.891058288,1.891794045,5327.88,127483.8,152.2555425,3.643121678,0,41792.60424,Africa
New Zealand,renewables_n_other,2017,0.324773091,0.324457521,184.4839,4778.79,192.2822338,4.980794616,0,38604.73049,Africa
United Kingdom,renewables_n_other,2017,1.027580066,0.981772112,2895.794,66089.75,125.1684359,2.85667787,0,43816.08343,Oceania
United States of America,renewables_n_other,2017,11.11551152,11.23662625,18927.11,326379.8,299.1414892,5.158407142,0,57991.05827,Oceania
Australia,renewables_n_other,2018,0.39546397,0.40993275,1202.747,25027.28,246.1798433,5.122616699,0,48057.43972,Oceania
Canada,renewables_n_other,2018,3.776813558,3.965200885,1705.807,37065.1,409.2184089,8.891815573,0,46021.91819,Europe
Germany,renewables_n_other,2018,1.999044059,2.259554248,4137.18,82934.16,167.1222479,3.350142669,0,49885.11369,Africa
Japan,renewables_n_other,2018,1.929451362,1.927546584,5357.39,127182.8,151.6909771,3.6010974,0,42123.54186,Africa
New Zealand,renewables_n_other,2018,0.33128333,0.331080672,192.426,4869.603,186.971449,4.731568131,0,39515.74697,Africa
United Kingdom,renewables_n_other,2018,1.133091092,1.069100944,2943.601,66478.92,124.4117191,2.809741102,0,44278.71271,Oceania
United States of America,renewables_n_other,2018,11.34254097,11.55217486,19479.58,328317.2,308.2488909,5.195359077,0,59331.58543,Oceania
Australia,renewables_n_other,2019,0.453750757,0.465408709,1226.586,25407.68,251.6753839,5.213240343,0,48276.19051,Oceania
Canada,renewables_n_other,2019,3.666640507,3.848938067,1737.87,37601.23,398.3355114,8.618541766,0,46218.43488,Europe
Germany,renewables_n_other,2019,2.154246151,2.368649481,4182.05,83111.4,162.8332704,3.23604478,0,50318.60852,Africa
Japan,renewables_n_other,2019,1.958455321,1.985612021,5359.05,126840.2,149.6660546,3.54235775,0,42250.40642,Africa
New Zealand,renewables_n_other,2019,0.319465462,0.31892285,198.6641,4956.083,186.8056088,4.660248642,0,40084.90173,Africa
United Kingdom,renewables_n_other,2019,1.209745462,1.135345443,2992.817,66827.7,121.1391596,2.704960382,0,44784.07906,Oceania
United States of America,renewables_n_other,2019,11.43613602,11.59513843,19925.43,330043.8,304.3052708,5.04049689,0,60372.07789,Oceania
